target_count,algorithm,comm_label,horizon,metric,metric_display,available,n,mean,median,standard_deviation,standard_error,minimum,maximum,required_metric
5,ACBBA,ideal,12,final_completion_time,Final simulated mission-completion time (s),1,25,46.6270219452827,47.7245951995485,10.6138906860884,2.12277813721769,17.1423359011856,62.4097136109502,0
5,ACBBA,ideal,12,max_individual_steps,Maximum individual movement workload (steps),1,25,27.08,28,5.93660958235703,1.18732191647141,11,36,0
5,ACBBA,ideal,12,max_robot_steps,Makespan (maximum robot steps),1,25,27.08,28,5.93660958235703,1.18732191647141,11,36,1
5,ACBBA,ideal,12,max_target_workload,Maximum target workload on one robot,1,25,3.32,3,1.0295630140987,0.20591260281974,2,5,0
5,ACBBA,ideal,12,movement_workload_gini,Movement-workload Gini,1,25,0.42135085428973,0.409574468085106,0.157544439365909,0.0315088878731818,0.0681818181818181,0.664285714285714,0
5,ACBBA,ideal,12,target_workload_gini,Target-workload Gini,1,25,0.51,0.55,0.187082869338697,0.0374165738677394,0.15,0.75,0
5,ACBBA,ideal,12,total_messages,Total messages,1,25,190.68,174,61.830898424655,12.366179684931,102,380,0
5,ACBBA,ideal,12,total_team_steps,Total team steps,1,25,43.76,41,12.4575278446408,2.49150556892815,29,86,1
5,DGA,bernoulli_025,1,active_robot_count,Active robots completing at least one target,1,25,3.16,3,0.553774924194538,0.110754984838908,2,4,0
5,DGA,bernoulli_025,1,allocation_messages,Allocation messages,1,25,28.36,29,4.84664832642105,0.969329665284211,18,37,0
5,DGA,bernoulli_025,1,allocator_time_ms,Allocator computation time (ms),1,25,10197.004892,10735.1511,2850.01800835489,570.003601670979,2803.3993,15209.2754,0
5,DGA,bernoulli_025,1,final_completion_time,Final simulated mission-completion time (s),1,25,30.2983741129219,31.2210744608188,4.59766436452364,0.919532872904727,17.8062283193001,38.3952504285918,0
5,DGA,bernoulli_025,1,max_individual_steps,Maximum individual movement workload (steps),1,25,18.32,19,2.59358182185692,0.518716364371384,11,23,0
5,DGA,bernoulli_025,1,max_robot_steps,Makespan (maximum robot steps),1,25,18.32,19,2.59358182185692,0.518716364371384,11,23,1
5,DGA,bernoulli_025,1,max_target_workload,Maximum target workload on one robot,1,25,2.4,2,0.5,0.1,2,3,0
5,DGA,bernoulli_025,1,movement_workload_gini,Movement-workload Gini,1,25,0.255712695092185,0.268867924528302,0.0798696235980127,0.0159739247196025,0.0445205479452055,0.402777777777778,0
5,DGA,bernoulli_025,1,target_workload_gini,Target-workload Gini,1,25,0.35,0.35,0.129099444873581,0.0258198889747161,0.15,0.55,0
5,DGA,bernoulli_025,1,total_messages,Total messages,1,25,127.56,122,23.2828262889195,4.65656525778389,89,186,0
5,DGA,bernoulli_025,1,total_team_steps,Total team steps,1,25,46.28,44,10.651760417884,2.1303520835768,30,72,1
5,DGA,bernoulli_025,2,active_robot_count,Active robots completing at least one target,1,25,3,3,0.577350269189626,0.115470053837925,2,4,0
5,DGA,bernoulli_025,2,allocation_messages,Allocation messages,1,25,42.44,39,12.1589473228565,2.43178946457131,25,79,0
5,DGA,bernoulli_025,2,allocator_time_ms,Allocator computation time (ms),1,25,10607.264528,11725.4539,3076.15793373969,615.231586747937,3498.2474,15960.9862,0
5,DGA,bernoulli_025,2,final_completion_time,Final simulated mission-completion time (s),1,25,30.5504888409401,31.5875385984282,4.5145441788258,0.90290883576516,17.4371014523178,38.609935228269,0
5,DGA,bernoulli_025,2,max_individual_steps,Maximum individual movement workload (steps),1,25,18.48,19,2.53508711224421,0.507017422448841,11,23,0
5,DGA,bernoulli_025,2,max_robot_steps,Makespan (maximum robot steps),1,25,18.48,19,2.53508711224421,0.507017422448841,11,23,1
5,DGA,bernoulli_025,2,max_target_workload,Maximum target workload on one robot,1,25,2.44,2,0.506622805119022,0.101324561023804,2,3,0
5,DGA,bernoulli_025,2,movement_workload_gini,Movement-workload Gini,1,25,0.268021000829922,0.293859649122807,0.0905161426006804,0.0181032285201361,0.036764705882353,0.421875,0
5,DGA,bernoulli_025,2,target_workload_gini,Target-workload Gini,1,25,0.378,0.35,0.124230967690562,0.0248461935381123,0.15,0.55,0
5,DGA,bernoulli_025,2,total_messages,Total messages,1,25,140.96,138,29.0236685023333,5.80473370046666,98,216,0
5,DGA,bernoulli_025,2,total_team_steps,Total team steps,1,25,46,46,10.8934230922455,2.17868461844909,28,69,1
5,DGA,bernoulli_025,3,active_robot_count,Active robots completing at least one target,1,25,3.2,3,0.577350269189626,0.115470053837925,2,4,0
5,DGA,bernoulli_025,3,allocation_messages,Allocation messages,1,25,47.96,47,12.4782477402345,2.49564954804689,26,79,0
5,DGA,bernoulli_025,3,allocator_time_ms,Allocator computation time (ms),1,25,13079.149064,10045.6651,14824.4934740159,2964.89869480317,3201.5278,82213.008,0
